ID;nom;adresse;commune;etat;type;geo;nbVelosDispo;nbPlacesDispo;etatConnexion;datemiseajour;localisation
230;DE LA VIGNE;181, BOULEVARD DE STRASBOURG;ROUBAIX;EN SERVICE;SANS TPE;50.70076,3.18407;5;6;CONNECTED;2021-02-17T17:06:55+01:00;50.70076,3.18407
64;MAIRIE DE LILLE;17 RUE SAINT SAUVEUR;LILLE;EN SERVICE;AVEC TPE;50.6318,3.071392;11;9;CONNECTED;2021-02-17T17:06:54+01:00;50.6318,3.071392
247;ROUGET DE L ISLE;SECTEUR BVRD DE L'EGALITÉ;TOURCOING;EN SERVICE;AVEC TPE;50.734142,3.167987;6;9;CONNECTED;2021-02-17T17:06:55+01:00;50.734142,3.167987
240;POSTE;22, RUE LÉON SALEMBIER;TOURCOING;EN SERVICE;AVEC TPE;50.71922,3.163396;6;6;CONNECTED;2021-02-17T17:06:55+01:00;50.71922,3.163396
68;NATIONALE RUE DU PORT;244 - 254 RUE NATIONALE;LILLE;EN SERVICE;AVEC TPE;50.630836,3.047778;9;15;CONNECTED;2021-02-17T17:06:54+01:00;50.630836,3.047778
260;PLACE ROUSSEL;45, PLACE CHARLES ET ALBERT ROUSSEL;TOURCOING;EN SERVICE;AVEC TPE;50.72101,3.157978;10;10;CONNECTED;2021-02-17T17:06:55+01:00;50.72101,3.157978
252;RUE DES POUTRAINS;RUE DE LILLE;TOURCOING;EN SERVICE;SANS TPE;50.72263,3.150377;7;9;CONNECTED;2021-02-17T17:06:55+01:00;50.72263,3.150377
114;BOIS HABITE;BOULEVARD DU PRÉSIDENT HOOVER;LILLE;EN SERVICE;AVEC TPE;50.62651,3.079211;0;17;CONNECTED;2021-02-17T17:06:54+01:00;50.62651,3.079211
4;MAISON FOLIE WAZEMMES;28 RUE DE L'HOPITAL SAINT ROCH;LILLE;EN SERVICE;AVEC TPE;50.624695,3.048961;16;4;CONNECTED;2021-02-17T17:06:54+01:00;50.624695,3.048961
216;FRATERNITE;PLACE DE LA FRATERNITÉ;ROUBAIX;EN SERVICE;AVEC TPE;50.681797,3.194122;7;9;CONNECTED;2021-02-17T17:06:55+01:00;50.681797,3.194122
116;BOTANIQUE;185, AVENUE DE LA RÉPUBLIQUE;LA MADELEINE;EN SERVICE;AVEC TPE;50.64891,3.078336;8;8;CONNECTED;2021-02-17T17:06:54+01:00;50.64891,3.078336
47;BOULEVARD LOUIS XIV;1 BOULEVARD JEAN BAPTISTE LEBAS;LILLE;EN SERVICE;AVEC TPE;50.62824,3.069233;9;15;CONNECTED;2021-02-17T17:06:54+01:00;50.62824,3.069233
5;MASSENA;73 RUE MASSENA;LILLE;EN SERVICE;AVEC TPE;50.63156,3.054738;6;25;CONNECTED;2021-02-17T17:06:54+01:00;50.63156,3.054738
208;DE FOURMIES;107, BOULEVARD DE FOURMIES;ROUBAIX;EN SERVICE;SANS TPE;50.67544,3.181998;5;7;CONNECTED;2021-02-17T17:06:55+01:00;50.67544,3.181998
268;BLANCHEMAILLE;59-55 RUE DE BLANCHEMAILLE;ROUBAIX;EN SERVICE;SANS TPE;50.6967934,3.1684926;8;8;CONNECTED;2021-02-17T17:06:55+01:00;50.6967934,3.1684926
7;PLACE DE STRASBOURG;7 PLACE DE STRASBOURG;LILLE;EN SERVICE;AVEC TPE;50.633728,3.055307;10;6;CONNECTED;2021-02-17T17:06:54+01:00;50.633728,3.055307
221;ROUBAIX MAIRIE;FACE AU 1, CONTOUR  SAINT MARTIN;ROUBAIX;EN SERVICE;AVEC TPE;50.69184,3.173925;16;14;CONNECTED;2021-02-17T17:06:55+01:00;50.69184,3.173925
151;CH. DES MARGUERITOIS;FACE AU 152 CHEMIN MARGUERITOIS;RONCHIN;EN SERVICE;SANS TPE;50.60642,3.072209;6;7;CONNECTED;2021-02-17T17:06:55+01:00;50.60642,3.072209
10;RIHOUR;ANGLE PLACE RIHOUR;LILLE;EN SERVICE;AVEC TPE;50.63589,3.062471;10;22;CONNECTED;2021-02-17T17:06:54+01:00;50.63589,3.062471
241;LE CORBUSIER;RUE DES PIATS;TOURCOING;EN SERVICE;SANS TPE;50.722343,3.170847;8;10;CONNECTED;2021-02-17T17:06:55+01:00;50.722343,3.170847
120;LOMME MAIRIE;HÔTEL DE VILLE;LOMME;EN MAINTENANCE;SANS TPE;50.639366,3.012452;0;18;CONNECTED;2021-02-17T17:06:54+01:00;50.639366,3.012452
265;CROIX CENTRE;3 PLACE DE LA REPUBLIQUE;CROIX;EN SERVICE;SANS TPE;50.6742992,3.1471793;7;9;CONNECTED;2021-02-17T17:06:55+01:00;50.6742992,3.1471793
244;F ROOSEVELT;2-14 BOULEVARD DE L'ÉGALITÉ;TOURCOING;EN SERVICE;SANS TPE;50.727448,3.16646;6;6;CONNECTED;2021-02-17T17:06:55+01:00;50.727448,3.16646
264;REPUBLIQUE;203 RUE CARNOT;WATTRELOS;HORS SERVICE;AVEC TPE;50.697895,3.206297;0;0;DISCONNECTED;2019-07-10T17:48:05+02:00;50.697895,3.206297
16;MAGASIN;3 RUE SAINT ANDRE;LILLE;EN SERVICE;AVEC TPE;50.646225,3.053499;12;4;CONNECTED;2021-02-17T17:06:54+01:00;50.646225,3.053499
255;RUE DE ROUBAIX;SECTEUR UNION;TOURCOING;EN SERVICE;SANS TPE;50.7134,3.165011;5;7;CONNECTED;2021-02-17T17:06:55+01:00;50.7134,3.165011
